# PropHunt becomable-prop curation. key=1 keep, key=0 skip. Edit in-game with the phcurate console command.
# key = meshName|vertexCount|wFxhFxdF (content signature; LOD props use the lex-min key across LODs).
OtherWindow.006|78|2.1x0.0x2.1=0
Glass.007|16|1.9x0.0x1.9=0
WindowTrim.007|40|2.1x0.1x0.2=0
OtherWindow.007|78|2.1x0.0x2.1=0
Glass.008|16|1.9x0.0x1.9=0
WindowTrim.008|40|2.1x0.1x0.2=0
OtherWindow.008|78|2.1x0.0x2.1=0
Glass.009|16|1.9x0.0x1.9=0
WindowTrim.009|40|2.1x0.1x0.2=0
OtherWindow.009|78|2.1x0.0x2.1=0
Glass.010|16|1.9x0.0x1.9=0
WindowTrim.010|40|2.1x0.1x0.2=0
Window|78|2.1x0.0x2.1=0
Glass|16|1.9x0.0x1.9=0
WindowTrim|40|2.1x0.1x0.2=0
Bars.001|456|0.1x3.6x2.5=0
Cross|16|0.1x2.0x0.0=0
Cross.001|16|0.1x2.0x0.0=0
Post|60|0.1x0.1x2.8=0
Post.001|60|0.1x0.1x2.8=0
Bars|216|0.1x1.6x2.5=0
2m outdoor fence (202532147291)|248|0.1x2.6x2.0=0
Quad|4|1.0x1.0x0.0=0
Post|36|0.1x0.1x1.3=0
Cube|24|1.0x1.0x1.0=0
Post.001|36|0.1x0.1x1.3=0
Door|248|2.0x2.0x2.0=1
DoorHandle|56|3.5x2.0x19.0=0
DoorHandle.001|56|3.5x2.0x19.0=0
Glass.002|8|0.0x0.4x2.0=0
Block|58|2.0x2.0x2.7=0
DoorFrame|148|0.2x2.0x2.1=0
ExteriorWalls|156|2.4x2.0x6.0=0
Extrusion|218|0.5x2.1x2.4=0
Extrusion_Interior|68|0.6x1.8x2.4=0
InteriorTrim.001|16|0.0x0.6x0.5=0
InteriorTrim.002|16|0.0x1.8x0.5=0
InteriorTrim.003|16|0.0x0.6x0.5=0
PlantBox|88|0.2x1.9x0.2=0
Dirt|4|0.2x1.8x0.0=0
Support|28|0.1x0.1x0.1=0
Support.001|28|0.1x0.1x0.1=0
Roof.002|45|0.5x2.1x0.1=0
WindowFrame.001|125|0.1x0.9x1.1=0
Window|8|0.0x0.8x1.0=0
Floor|215|6.5x9.0x0.2=0
InnerDoorFrame.001|86|0.2x1.1x2.1=0
InnerFloor|44|6.2x8.7x0.0=0
InnerWall.002|16|0.2x2.7x2.8=0
InteriorTrim.010|16|0.0x2.7x0.5=0
InteriorTrim.018|16|0.0x2.6x0.5=0
InteriorTrim.023|16|0.0x2.6x0.5=0
InteriorTrim.019|16|0.0x1.3x0.5=0
InteriorTrim.020|16|0.0x0.8x0.5=0
InteriorTrim.021|16|0.0x0.8x0.5=0
InteriorTrim.022|16|0.0x1.1x0.5=0
LongWall|1092|0.0x9.0x3.2=0
LongWall.002|517|0.0x9.0x3.2=0
RearPath|24|0.5x1.8x0.2=0
Roof_Upper|16|3.1x9.2x1.2=0
ShortWall|904|6.0x0.0x3.2=0
WindowFrame|48|1.0x0.2x1.3=0
ShortWall.002|904|6.0x0.0x3.2=0
WallTriangle|344|6.0x0.0x1.2=0
WallTriangle.001|344|6.0x0.0x1.2=0
Lid_LOD0|768|1.2x2.0x0.3=0
Lid_LOD1|268|1.2x2.0x0.3=0
Lid_LOD2|122|1.2x2.0x0.3=0
3x1|36|1.0x3.0x0.1=0
3x2|36|2.0x3.0x0.1=0
Pole|256|0.1x0.1x2.1=0
Plane|8|1.0x1.0x0.0=0
Body.001|24|0.0x1.3x0.8=0
Outdoor chair_Impostor|8|0.6x1.0x0.7=0
filing cabinet_Impostor|8|0.7x1.5x0.6=0
HourHand|4|0.0x0.0x0.1=1
MinuteHand|4|0.0x0.0x0.2=1
Base_LOD1|36|0.3x0.3x1.6=0
Head_LOD1|33|0.4x0.4x0.4=0
Light|8|2.0x2.0x0.0=0
PayPhone_high|1259|0.5x0.6x2.0=0
Main_LOD1|192|0.3x0.3x0.3=1
Cube|24|0.0x0.2x0.1=0
A-B Bend|695|10.0x8.5x4.2=0
Motel_Unit1|2093|8.0x8.4x14.4=0
Door|306|1.6x2.7x0.3=0
interior|521|7.7x4.0x8.7=0
bathroomdoor_LP|332|0.2x2.8x1.5=0
Locker_Shelf|164|0.9x0.2x3.5=0
trim|6|2.1x0.0x0.0=0
Rockbed.001|4|8.0x0.0x1.5=0
Window.L|176|1.2x1.4x0.0=0
Window.R|176|1.2x1.4x0.0=0
Step|112|1.6x0.6x2.0=0
Motel_Unit1|60|8.0x3.4x14.2=0
Interior|122|5.0x6.1x2.8=0
InteriorWall|64|2.0x2.5x2.8=0
Bench|428|0.7x1.5x1.0=0
Sink|72|0.6x0.7x0.2=0
Cabinets|160|0.6x1.5x0.7=0
Hinge|36|0.7x0.6x0.5=0
Knocker|180|2.5x2.5x0.4=0
KnockerBase|40|0.8x0.8x0.1=0
Motel_Unit1_Side_Left|1039|1.4x8.4x14.4=0
Rockbed_Corner|24|2.4x0.0x13.5=0
Motelsign_2|1288|12.8x2.1x0.5=0
Office_Bulbs|684|11.1x3.8x0.0=0
Sprinkler|132|0.3x0.2x0.3=0
curtainholder|58|2.5x0.2x0.2=0
curtainopened|32|2.5x2.0x0.1=0
Notepad|20|0.1x0.0x0.2=0
Penholder|84|0.1x0.1x0.1=0
pen|52|0.0x0.0x0.2=0
Frontdesk|530|5.2x1.4x1.0=0
curtainclosed1|60|2.4x2.0x0.1=0
Decor2|156|2.0x1.0x0.0=0
Decor1|68|1.8x1.2x0.0=0
Outlet_US|20|0.1x0.2x0.0=0
Vacancy_Sign|933|1.0x1.7x0.2=0
Bin.001|85|0.6x0.5x0.4=0
Bedside_LP|280|0.8x1.1x0.8=1
Bedside_Drawer|140|0.6x0.3x0.4=0
Nonsmoking sign|74|0.1x0.2x0.1=0
Sign1|84|1.7x0.8x0.0=0
Vent|36|0.6x0.0x0.6=0
Cube.012|196|2.0x2.0x0.3=0
AC_Interior_Unit|88|1.3x0.4x0.2=0
Lamp_LOD0|1715|0.6x0.9x0.6=0
Lamp_LOD1|993|0.5x0.9x0.5=0
OfficeSign|511|2.0x0.8x0.4=0
Safe|108|0.7x0.4x0.5=0
Armchair|340|1.4x1.1x1.2=0
Table|264|1.7x1.3x1.0=0
Drawer|232|0.7x0.2x0.4=0
Vase_LOD0|332|0.2x0.5x0.2=1
Vase_LOD1|100|0.2x0.5x0.2=0
TV|382|0.9x0.9x0.7=0
Icebucket|277|0.2x0.2x0.2=0
Tray2|104|0.5x0.0x0.3=0
Cup|88|0.1x0.2x0.1=0
Spotlamp|40|0.3x0.0x0.3=0
Office_table|140|1.6x0.7x0.9=0
Plant1_LOD0|1215|12.7x12.5x7.6=0
Plant1_LOD1|700|12.7x12.5x7.6=0
Lightswitch|40|0.1x0.2x0.0=0
Decor3|44|2.1x1.2x0.0=0
GrandRock_Letters|1006|2.8x1.0x0.1=0
Cable|30|1.7x2.0x2.0=0
Body_LOD0|924|1.3x2.3x1.4=0
Body_LOD1|680|1.3x2.3x1.4=0
Body_LOD2|146|1.2x2.2x1.3=0
WheelBracket|208|0.2x0.1x0.2=0
Bin_LOD1|281|3.7x1.6x1.6=0
Yellow Ladder|340|1007.3x107.6x4.9=1
AC_Pipe_Small|170|0.3x0.4x0.4=0
Alcove|54|3.3x1.4x1.7=0
Roof.001|22|3.4x1.6x0.4=0
RoofTrim|22|3.4x1.6x0.3=0
SmallWindowFrame|108|0.2x1.2x1.3=0
Glass.002|24|0.1x0.8x0.9=0
BackPorch|154|2.0x13.1x0.5=0
Balcony|24|2.0x13.2x0.2=0
Chimney_Bottom|68|2.5x1.3x3.8=0
Chimney_Top|79|2.5x1.0x7.8=0
Fireplace|48|1.5x0.5x1.0=0
Grate|140|1.3x0.1x0.2=0
Fireplace Trim|72|2.7x0.4x1.7=0
Column|200|0.5x0.5x3.0=0
Column.001|200|0.5x0.5x3.0=0
Column.002|200|0.5x0.5x3.5=0
Column.003|200|0.5x0.4x3.5=0
Column.004|200|0.5x0.5x3.5=0
Column.005|200|0.5x0.5x3.5=0
DoorFrame|116|0.2x1.4x2.3=0
Downstairs Exterior Walls|279|12.3x21.3x3.2=0
Downstairs Interior Walls|418|12.0x21.0x3.2=0
FloorJoiner|12|5.8x1.9x0.5=0
Foundation|104|12.5x21.5x0.5=0
FrontPorch|154|2.0x5.1x0.5=0
FrontPorchSupport|22|2.0x5.0x0.8=0
FrontPorchRoof|38|2.1x5.1x0.6=0
InnerFloor|8|12.3x21.3x0.0=0
InteriorRoof|32|12.3x21.3x0.5=0
LargeWindowFrame|652|0.2x2.7x2.2=0
Glass|24|0.0x2.3x1.8=0
Shutters.002|208|0.1x0.6x2.0=0
Shutters.003|208|0.1x0.6x2.0=0
Main_Block|380|2.4x2.1x2.7=0
Middle Exterior Walls|32|12.3x21.3x0.5=0
Roof|36|13.1x22.1x2.5=0
RoofBase|60|13.1x22.1x0.8=0
Room1Roof|4|6.1x8.2x0.0=0
Room2Roof|4|6.1x8.2x0.0=0
Room3Roof|4|6.1x8.2x0.0=0
Room4Roof|4|6.1x8.2x0.0=0
Skirt|32|1.3x1.6x0.5=0
Skirt.001|32|1.3x1.6x0.5=0
Skirt.002|32|1.3x1.6x0.5=0
Skirt.003|32|1.3x1.6x0.5=0
Skirt.006|48|6.6x2.0x0.5=0
Skirt.010|32|1.3x1.6x0.5=0
Skirt.011|32|1.3x1.6x0.5=0
Skirt.012|48|1.3x4.5x0.5=0
Skirt.015|80|12.0x8.0x0.5=0
Skirt.016|80|12.0x8.0x0.5=0
Skirt.021|16|6.6x0.0x0.5=0
Skirt.026|16|6.6x0.0x0.5=0
Skirt.031|16|6.6x0.0x0.5=0
Skirt.036|16|6.6x0.0x0.5=0
Skirt.045|128|12.0x8.0x0.5=0
Skirt.047|128|12.0x8.0x0.5=0
Stairs|18|6.0x2.0x3.8=0
Siding|20|5.7x0.2x3.8=0
Stair Railing|608|2.1x0.2x2.4=0
Stair Railing.001|456|2.0x0.2x2.1=0
Stairs.001|160|6.0x1.9x3.8=0
Upper Interior Roof|6|12.2x4.8x0.0=0
UpperFloor|16|12.3x21.3x0.0=0
Upstairs Exterior Walls|198|12.3x21.3x3.3=0
Upstairs Interior Walls|84|6.0x8.0x3.2=0
Upstairs Interior Walls.001|84|12.0x5.0x3.3=0
Upstairs Interior Walls.002|84|6.0x8.0x3.2=0
Upstairs Interior Walls.003|84|6.0x8.0x3.2=0
Upstairs Interior Walls.004|84|6.0x8.0x3.2=0
Window_Block|12|0.1x3.3x2.0=0
WindowFrame|320|0.2x1.6x2.2=0
Glass.001|24|0.1x1.2x1.8=0
Shutters|208|0.1x0.6x2.0=0
Shutters.001|208|0.1x0.6x2.0=0
Fence|144|0.9x0.1x1.0=0
Post|100|0.2x0.2x1.2=0
Post.001|100|0.2x0.2x1.2=0
Fence|272|1.9x0.1x1.0=0
Body|294|6.4x7.4x6.5=1
Light|24|5.2x5.4x2.1=1
WallMount|64|0.2x0.1x0.3=1
Light|154|3.4x3.4x9.2=1
Bulb|102|2.9x3.3x6.2=1
Bolt|5|1.9x0.0x1.8=1
Bolt.001|5|1.9x0.0x1.8=1
Bolt.002|5|1.9x0.0x1.8=1
Bolt.003|5|1.9x0.0x1.8=1
Cube|40|0.2x0.2x0.0=1
Cube.001|20|2.0x2.0x2.0=1
Cube.002|28|1.7x1.8x4.7=0
Door|149|0.1x1.0x2.1=1
Handle|167|0.1x0.1x0.1=0
Handle.001|167|0.1x0.1x0.1=0
Cube.001|24|0.0x0.0x0.0=1
Pole|48|0.0x0.0x0.0=1
Alcove_1|7478|1650.2x2328.4x1116.9=0
Rubble|2794|13.6x5.5x12.7=0
Alcove|222|3.4x1.6x1.8=0
BigColumn|102|0.5x0.5x3.5=0
Chimney|406|2.7x1.3x11.5=0
Column|102|0.5x0.5x3.0=0
DoorFrame|104|0.3x1.4x2.3=0
SmallWindow_LOD0|760|0.3x2.7x2.2=0
SmallWindow_LOD1|16|0.1x3.3x2.0=0
Stair Railing|560|1.9x0.2x2.3=0
TapHandle|570|0.1x0.1x0.1=0
Drain|184|0.2x0.2x0.0=0
Black|12|0.1x0.1x0.0=0
Handle|360|0.1x0.1x0.0=0
Gate|276|0.1x2.8x2.7=1
Intercom|292|0.1x0.2x0.3=0
Door|548|0.2x0.3x0.2=0
SM_Veh_Crane_01|10040|3.5x2.9x9.8=0
SM_Veh_Crane_01_Glass|32|2.6x0.9x1.5=0
SM_Veh_Crane_01_HookLatch|404|0.2x0.2x0.3=0
SM_Veh_Crane_01_Leg_fl|175|1.3x0.5x0.2=0
SM_Veh_Crane_01_Leg_fl_Shaft|241|0.4x1.3x0.4=0
SM_Veh_Crane_01_Leg_fr|175|1.3x0.5x0.2=0
SM_Veh_Crane_01_Leg_fr_Shaft|241|0.4x1.3x0.4=0
SM_Veh_Crane_01_Leg_rl|175|1.3x0.5x0.2=0
SM_Veh_Crane_01_Leg_rl_Shaft|241|0.4x1.3x0.4=0
SM_Veh_Crane_01_Leg_rr|175|1.3x0.5x0.2=0
SM_Veh_Crane_01_Leg_rr_Shaft|241|0.4x1.3x0.4=0
SM_Veh_Crane_01_SteeringW|424|0.5x0.3x0.4=0
SM_Veh_Crane_01_Top|3714|3.1x2.2x5.3=0
SM_Veh_Crane_01_Arm_01|785|0.9x1.6x10.1=0
SM_Veh_Crane_01_Arm_02|146|0.8x0.8x8.0=0
SM_Veh_Crane_01_Arm_03|146|0.8x0.8x8.0=0
SM_Veh_Crane_01_Arm_04|1440|0.7x1.2x8.4=0
SM_Bld_Crane_Hook_01|240|0.3x1.1x0.4=0
SM_Bld_Crane_Hook_Wire_01|50|0.0x1.5x0.3=0
SM_Veh_Crane_01_Joystick_01|281|0.1x0.2x0.1=0
SM_Veh_Crane_01_Joystick_02|281|0.1x0.2x0.1=0
SM_Veh_Crane_01_Top_Glass|44|1.0x1.6x2.0=0
SM_Veh_Crane_01_Wheel_fl|482|0.5x1.6x1.6=0
SM_Veh_Crane_01_Wheel_fr|482|0.5x1.6x1.6=0
SM_Veh_Crane_01_Wheel_rl|482|0.5x1.6x1.6=0
SM_Veh_Crane_01_Wheel_rr|482|0.5x1.6x1.6=0
SM_Veh_Mini_Loader_01|2724|1.6x2.3x2.8=0
SM_Veh_Mini_Loader_01_Arm|1362|1.5x2.2x3.0=0
SM_Veh_Mini_Loader_01_Bucket|326|2.3x0.8x1.3=0
SM_Veh_Mini_Loader_01_Glass|267|1.1x1.4x1.5=0
SM_Veh_Mini_Loader_01_Joystick_01|281|0.1x0.3x0.2=0
SM_Veh_Mini_Loader_01_Joystick_02|281|0.1x0.3x0.2=0
SM_Veh_Mini_Loader_01_Wheel_fl|3199|0.5x1.1x1.1=0
SM_Veh_Mini_Loader_01_Wheel_fr|3199|0.5x1.1x1.1=0
SM_Veh_Mini_Loader_01_Wheel_rl|3199|0.5x1.1x1.1=0
SM_Veh_Mini_Loader_01_Wheel_rr|3199|0.5x1.1x1.1=0
SM_Prop_BarrelStack_01|2624|1.5x1.3x1.4=0
SM_Prop_Brick_Stack_01|2462|1.5x1.0x1.4=0
SM_Prop_Concrete_Mixer_01|1116|1.4x1.0x0.7=0
SM_Prop_Concrete_Mixer_01_Bowl|516|0.9x0.8x0.8=0
SM_Prop_Concrete_Mixer_01_Wheel|410|0.1x0.6x0.6=0
SM_Prop_Concrete_Slab_Pile_02|2858|3.3x2.1x2.8=0
AC|86|2.2x1.8x0.4=0
Apartment upper levels (20241128154944463)|18962|18.1x5.8x12.5=0
Arm|264|6.0x0.2x0.5=0
ShippingContainer|2523|246.3x259.0x619.1=0
WindowCover|24|0.1x3.9x1.4=0
Arm|48|0.1x0.0x1.6=0
Door|200|0.1x1.0x2.1=1
Frame|36|0.2x2.0x2.5=1
Handle|80|0.2x0.0x0.3=1
Board|520|0.2x0.9x0.1=0
Truck|278|0.1x0.1x0.0=0
Hanger|300|0.2x0.1x0.0=0
Wheel|282|0.0x0.1x0.1=0
Truck.001|263|6.6x2.9x10.2=0
Hanger.001|332|15.9x2.2x6.4=0
Board|102|0.3x0.9x0.0=0
Plane|96|0.2x0.8x0.0=0
Truck|278|0.1x0.1x0.1=0
Wheel|284|0.1x0.1x0.1=0
Arm|48|2.0x2.0x28.6=0
Housing|38|0.2x0.4x0.1=0
Pole|60|2.0x2.0x1.9=0
Awning|54|3.8x1.2x0.6=0
Awning.001|54|2.0x2.0x2.0=0
Awning.002|54|2.0x2.0x2.0=0
Block|65|16.0x12.0x7.7=0
LargeWindowFrame|228|3.5x0.1x2.0=0
Glass|24|3.2x0.0x1.6=0
LargeWindowFrame.001|228|3.5x0.1x2.0=0
LargeWindowFrame.002|228|3.5x0.1x2.0=0
WindowFrame|96|1.2x0.1x2.0=0
Glass.005|8|0.9x0.0x1.6=0
WindowFrame.001|96|1.2x0.1x2.0=0
WindowFrame.002|96|1.2x0.1x2.0=0
WindowFrame.003|96|1.2x0.1x2.0=0
WindowFrame.004|96|1.2x0.1x2.0=0
WindowFrame.005|96|1.2x0.1x2.0=0
WindowFrame.006|96|1.2x0.1x2.0=0
Post|36|0.1x0.1x2.8=0
Main|8|0.1x4.0x2.7=0
Post.001|36|0.1x0.1x2.8=0
BaseBoards|72|1.5x0.0x1.5=1
Blocks|216|1.5x0.1x1.5=1
Midboards|72|1.5x0.0x1.6=1
SupportBoards|72|1.5x0.0x1.5=1
Topboards|240|1.5x0.0x1.5=1
Awning|776|5.7x1.5x0.6=0
Awning.001|832|5.7x1.5x0.6=0
Awning.002|832|5.7x1.5x0.6=0
Awning.003|832|5.7x1.5x0.6=0
BlankWall|4|2.5x5.7x0.0=0
BlankWall.001|4|2.5x5.7x0.0=0
Column|56|1.4x1.4x5.0=0
Column.001|56|1.4x1.4x5.0=0
Column.002|56|1.4x1.4x5.0=0
Column.003|56|1.4x1.4x5.0=0
Column.004|56|1.4x1.4x5.0=0
Column.005|56|1.4x1.4x5.0=0
LowerWall|10|5.7x0.1x0.6=0
WindowFrame|232|5.7x0.1x2.5=0
Window|40|5.5x0.0x2.3=0
LowerWall.002|10|5.7x0.1x0.6=0
WindowFrame.002|232|5.7x0.1x2.5=0
Window.002|40|5.5x0.0x2.3=0
LowerWall.003|10|5.7x0.1x0.6=0
LowerWall.004|10|5.7x0.1x0.6=0
LowerWall.005|10|5.7x0.1x0.6=0
WindowFrame.003|232|5.7x0.1x2.5=0
Window.003|40|5.5x0.0x2.3=0
UpperWall|34|5.7x0.2x1.9=0
UpperWall.001|34|5.7x0.2x1.9=0
UpperWall.002|34|5.7x0.2x1.9=0
UpperWall.003|34|5.7x0.2x1.9=0
UpperWall.004|34|5.7x0.2x1.9=0
UpperWall.005|34|5.7x0.2x1.9=0
Awning|16|4.2x1.0x0.0=0
Awning|90|1.2x0.6x0.4=0
BrickWall|70|1.4x4.1x5.4=0
Sign|20|2.0x2.0x2.0=0
Window|56|1.0x0.0x1.8=0
SM_AC_Impostor|8|0.9x0.3x0.8=0
Body_LOD2|126|0.7x0.7x1.4=0
Impostor|8|0.7x1.5x0.7=0
SM_Ladder|384|0.5x0.4x3.4=1
B11_WallWindow|374|0.6x4.0x4.0=0
Shop1|1455|0.5x4.0x8.0=0
Shop3|2578|1.8x4.0x8.0=0
B11_WallFlatSide|4|0.0x4.0x4.0=0
SideStairs|1104|1.7x4.8x3.8=0
RoofWaterBank1|3396|3.4x6.9x4.9=0
RoofWaterBank2|3936|3.3x10.6x3.0=0
B11_WallWindow_LOW|4|0.0x4.0x4.0=0
B1C_WallDoor|840|1.1x4.0x4.0=0
B1C_WallDoor_LOW|4|0.0x4.0x4.0=0
B7_Store|158|629.9x64.0x171.4=0
BackWall|100|0.0x0.0x0.0=0
Base|84|0.0x0.0x0.0=0
Base.001|84|0.0x0.0x0.0=0
Door|4|0.0x0.0x0.0=0
HandleBase|40|0.0x0.0x0.0=0
Handle|94|0.0x0.1x0.0=0
Keyhole|8|0.0x0.0x0.0=0
DoorFrame|44|0.0x0.0x0.0=0
Extractor|760|0.0x0.0x0.0=0
ExtractorBase|40|0.0x0.0x0.0=0
Frame|191|0.1x0.0x0.0=0
Frontwall|100|0.0x0.0x0.0=0
Plate|36|0.0x0.0x0.0=0
Roof|436|0.1x0.0x0.0=0
RoofTrim|22|0.0x0.0x0.0=0
RoofTrim.001|22|0.0x0.0x0.0=0
Screw|25|0.0x0.0x0.0=0
Screw.001|25|0.0x0.0x0.0=0
Screw.002|25|0.0x0.0x0.0=0
Screw.003|25|0.0x0.0x0.0=0
Screw.004|25|0.0x0.0x0.0=0
Screw.005|25|0.0x0.0x0.0=0
Screw.006|25|0.0x0.0x0.0=0
Screw.007|25|0.0x0.0x0.0=0
Screw.008|25|0.0x0.0x0.0=0
Screw.009|25|0.0x0.0x0.0=0
Screw.010|25|0.0x0.0x0.0=0
Screw.011|25|0.0x0.0x0.0=0
Screw.012|25|0.0x0.0x0.0=0
Screw.013|25|0.0x0.0x0.0=0
Screw.014|25|0.0x0.0x0.0=0
Screw.015|25|0.0x0.0x0.0=0
Wall|212|0.1x0.0x0.0=0
Wall.001|212|0.1x0.0x0.0=0
Window|76|0.0x0.0x0.0=0
Glass|4|0.0x0.0x0.0=0
Window.001|76|0.0x0.0x0.0=0
Window.002|76|0.0x0.0x0.0=0
Window.003|76|0.0x0.0x0.0=0
Backboard|40|0.0x0.0x0.0=1
Backing|12|0.0x1.7x1.7=0
Backrest|72|0.5x2.0x0.0=0
Base|72|0.5x2.0x0.0=0
Leg|114|0.8x0.1x1.0=0
Leg.001|114|0.8x0.1x1.0=0
North docks wall LOD1 (202521413407702)|8048|22.7x11.5x28.0=0
Backwall|12|2.0x0.1x9.8=0
Ledge|20|2.0x0.2x0.1=0
Main|36|2.0x1.0x0.2=0
Pole|48|0.5x0.5x9.8=0
Ledge|42|1.0x1.0x0.1=0
Main|42|1.0x1.0x0.2=0
Backwall|12|0.9x0.6x9.8=0
Ledge|15|0.2x0.2x0.1=0
Main|38|0.9x1.0x0.2=0
CrossBeams|228|2.0x2.0x43.9=0
Barrier|174|5.8x5.1x1.1=0
Foundation|76|20.0x12.5x0.2=0
InnerPost|240|0.7x0.7x3.6=0
Pavement|73|18.8x11.0x4.1=0
Post|260|0.7x0.7x5.5=0
Post.001|260|0.7x0.7x5.5=0
Post.002|260|0.7x0.7x5.5=0
Post.003|260|0.7x0.7x5.5=0
Post.004|260|0.7x0.7x5.5=0
Post.005|260|0.7x0.7x5.5=0
Post.006|132|0.7x0.7x1.4=0
Post.007|132|0.7x0.7x1.4=0
Post.008|260|0.7x0.7x5.5=0
Post.009|260|0.7x0.7x5.5=0
Post.010|260|0.7x0.7x5.5=0
Post.011|260|0.7x0.7x5.5=0
Ramp|112|7.8x5.0x0.9=0
RampRail|326|9.7x0.4x1.8=0
Roof|80|18.5x12.5x0.4=0
Sign|28|0.1x1.7x0.4=0
SmallWall|36|1.5x0.3x1.1=0
SmallWall.001|36|1.5x0.3x1.1=0
Wall|36|0.4x5.5x1.1=0
Wall.001|36|5.5x0.3x1.1=0
Wall.002|36|5.5x0.3x1.1=0
Wall.003|36|5.5x0.3x1.1=0
Wall.004|36|5.5x0.3x1.1=0
Wall.005|36|5.5x0.3x1.1=0
Wall.006|36|5.5x0.3x1.1=0
Wall.007|36|5.5x0.3x1.1=0
Wall.009|36|5.5x0.3x1.1=0
Wall.010|36|5.5x0.3x1.1=0
Wall.011|36|5.5x0.3x1.1=0
Wall.012|36|5.5x0.3x1.1=0
Wall.013|36|5.5x0.3x1.1=0
Wall.014|36|5.5x0.3x1.1=0
Wall.015|36|5.5x0.3x1.1=0
Wall.016|36|5.5x0.3x1.1=0
Wall.017|36|5.5x0.3x1.1=0
Wall.018|36|5.5x0.3x1.1=0
Trash|1644|1.0x1.0x0.3=1
BlankWall|4|2.3x0.0x2.8=1
BlankWall_Other|4|2.3x0.0x2.8=1
BlankWall_Other.001|4|2.3x0.0x2.8=1
BlankWall_Other.002|4|2.3x0.0x2.8=1
BlankWall_Other.003|4|0.0x2.3x2.8=1
BlankWall_Other.004|4|0.0x2.3x2.8=1
BlankWall_Other.005|4|0.0x2.3x2.8=1
Bracket|108|0.8x0.1x0.8=1
Bracket_Other|108|0.8x0.1x0.8=1
Bracket_Other.001|108|0.8x0.1x0.8=1
Bracket_Other.002|108|0.8x0.1x0.8=1
Column|88|0.9x0.9x4.2=1
Column.001|90|0.9x0.9x4.2=1
Column.002|90|0.9x0.9x4.2=1
Column.003|90|0.9x0.9x4.2=1
Column.004|90|0.9x0.9x4.2=1
Column.005|90|0.9x0.9x4.2=1
Column.006|90|0.9x0.9x4.2=1
Column.007|90|0.9x0.9x4.2=1
Column.008|90|0.9x0.9x4.2=1
Column.009|90|0.9x0.9x4.2=1
DoorFrame|164|0.0x2.3x2.8=1
Wall|40|0.2x3.3x4.0=1
Wall_Other|44|0.2x3.3x4.0=1
Wall_Other.001|44|0.2x3.3x4.0=1
Wall_Other.002|48|3.3x0.2x4.0=1
